id,food_id,basis_qty,basis_unit,kcal,protein_g,fat_g,carb_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,magnesium_mg,iron_mg,created_at,updated_at
162,162,100,g,65,3.3,3.5,4.5,,40,160,114,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
163,163,100,g,50,3.3,1.7,4.9,,40,160,114,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
164,164,100,g,36,3.5,0.1,9.5,,40,160,114,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
165,165,100,g,63,3.2,2.9,5.9,,120,181,120,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
166,166,100,g,59,4,2.8,4,,120,181,120,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
167,167,100,g,64,3.5,3.6,4,,120,181,120,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
168,168,100,g,54,3.2,2.6,4,,120,181,120,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
169,169,100,g,155,13,9,4.5,,18,65,80,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
170,170,100,g,90,18,0,4,,18,65,80,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
171,171,100,g,369,27.4,27.4,0.5,,515,146,400,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
172,172,100,g,305,18.9,24,1,,515,146,400,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
173,173,100,g,273,19.4,20.4,1,,515,146,400,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
174,174,100,g,423,28.6,32.4,1,,515,145,400,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
175,175,100,g,283,25,19,1,,515,146,400,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
176,176,100,g,366,31.4,25.4,0.2,,700,150,590,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
177,177,100,g,366,7,36,0.9,,0,0,100,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
178,178,100,g,104,20.4,2.2,0,,408,110,200,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
179,179,100,g,142,20.4,6.3,0,,170,442,170,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
180,180,100,g,142,21,6,0,,400,359,160,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
181,181,100,g,177,20.1,10.2,0,,400,359,160,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
182,182,100,g,127,10.5,9,0,,195,327,380,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
183,183,100,g,109,19.7,3,0,,333,310,380,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
184,184,100,g,120,18,5,0,,450,259,250,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
185,185,100,g,107,17,4,0,,290,326,130,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
186,186,100,g,0,15.7,17.6,0,,133,230,200,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
187,187,100,g,259,13,26,0,,2000,160,150,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
188,188,100,g,391,17,34.6,0,,1900,510,150,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
189,189,100,g,519,20,47,0,,1260,252,150,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
190,190,100,g,374,19.4,31.7,0,,1050,226,150,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
191,191,100,g,258,18.2,19.7,0,,750,143,180,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
192,192,100,g,294,24.9,20.7,0,,855,314,220,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
193,193,100,g,333,21.6,26.3,0,,800,310,220,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
194,194,100,g,299,23,22,0,,1750,130,250,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
195,195,100,g,349,16.8,30.1,0,,2000,160,150,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
196,196,100,g,261,19.6,19.5,0,,1100,195,250,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
197,197,100,g,305,16.6,25.5,0,,1000,190,250,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
198,198,100,g,294,15,25,0,,65,220,200,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
199,199,100,g,124,15.9,6.3,0,,50,310,137,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
200,200,100,g,91,18,1.9,0,,70,210,177,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
201,201,100,g,91,20.2,0.9,0,,125,240,173,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
202,202,100,g,291,22.5,21.4,0,,240,397,430,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
203,203,100,g,232,21.5,15.5,0,,43,40,200,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
204,204,100,g,167,18,10,0,,70,210,177,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
205,205,100,g,183,22,10,0,,125,240,173,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
206,206,100,g,114,21,3,0,,80,210,170,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
207,207,100,g,125,10.6,6.9,4.3,,50,310,137,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
208,208,100,g,118,11.5,6.2,3.4,,60,310,130,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
209,209,100,g,112,11.1,5.6,3.4,,50,280,200,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
210,210,100,g,85,14.9,1.3,2.9,,120,180,200,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
211,211,100,g,170,16.2,10.4,1.8,,240,397,430,,,,"2026-02-13 06:50:34","2026-02-13 06:50:34"
