Aliment,Proteine (g),Lipide (g),Glucide (g),Potasiu (mg),Fosfor (mg),Sodiu (mg),Energie (kcal),,
Lactate,,,,,,,,,
Lapte de vaca integral,"3,3","3,5","4,5",160,114,40,65,,
Lapte de vaca semidegresat,"3,3","1,7","4,9",160,114,40,50,,
Lapte condensat,"3,5","0,1","9,5",160,114,40,36,,
Lapte batut de vaca,"3,2","2,9","5,9",181,120,120,63,,
Chefir,4,"2,8",4,181,120,120,59,,
Sana,"3,5","3,6",4,181,120,120,64,,
Iaurt,"3,2","2,6",4,181,120,120,54,,
Branza grasa de vaca,13,9,"4,5",65,80,18,155,,
Branza dietetica vaca,18,0,4,65,80,18,90,,
Branza de burduf,"27,4","27,4","0,5",146,400,515,369,,
Telemea de oaie,"18,9",24,1,146,400,515,305,,
Telemea de vaca,"19,4","20,4",1,146,400,515,273,,
Cascaval Dobrogea,"28,6","32,4",1,145,400,515,423,,
Cascaval Penteleu,25,19,1,146,400,515,283,,
Parmezan,"31,4","25,4","0,2",150,590,700,366,,
Smantana topita,7,36,"0,9",0,100,0,366,,
Carne si produse din carne,,,,,,,,,
Carne de vaca slaba,"20,4","2,2",0,110,200,408,104,,
Carne de porc slaba,"20,4","6,3",0,442,170,170,142,,
Carne de gaina,21,6,0,359,160,400,142,,
Carne de pui de gaina,"20,1","10,2",0,359,160,400,177,,
Creier de bovine,"10,5",9,0,327,380,195,127,,
Ficat de bovine,"19,7",3,0,310,380,333,109,,
Rinichi de bovine,18,5,0,259,250,450,120,,
Inima de bovine,17,4,0,326,130,290,107,,
Limba de bovine,"15,7","17,6",0,230,200,133,0,,
"Preparate de tip prospaturi, parizier, crenvust, polonez",13,26,0,160,150,2000,259,,
"De tip semiafumat bucuresti, italian, vinatoresc",17,"34,6",0,510,150,1900,391,,
Salam de vara,20,47,0,252,150,1260,519,,
Cabanos,"19,4","31,7",0,226,150,1050,374,,
Caltabos alb,"18,2","19,7",0,143,180,750,258,,
Sunca presata,"24,9","20,7",0,314,220,855,294,,
Muschi tiganesc,"21,6","26,3",0,310,220,800,333,,
Toba,23,22,0,130,250,1750,299,,
Leberwurst,"16,8","30,1",0,160,150,2000,349,,
Pate de ficat,"19,6","19,5",0,195,250,1100,261,,
Haseu din carne de porc,"16,6","25,5",0,190,250,1000,305,,
Peste si produse din peste,,,,,,,,,
Anghila,15,25,0,220,200,65,294,,
Crap,"15,9","6,3",0,310,137,50,124,,
Fitofag,18,"1,9",0,210,177,70,91,,
Merluciu,"20,2","0,9",0,240,173,125,91,,
Sardele in ulei,"22,5","21,4",0,397,430,240,291,,
Ton,"21,5","15,5",0,40,200,43,232,,
Heringi,18,10,0,210,177,70,167,,
Macrou,22,10,0,240,173,125,183,,
Stavrid,21,3,0,210,170,80,114,,
Crap in sos tomat,"10,6","6,9","4,3",310,137,50,125,,
Caras in sos tomat,"11,5","6,2","3,4",310,130,60,118,,
Babusca in sos tomat,"11,1","5,6","3,4",280,200,50,112,,
Cod in sos tomat,"14,9","1,3","2,9",180,200,120,85,,
Hering in sos tomat,"16,2","10,4","1,8",397,430,240,170,,
Macrou in sos de tomat,"14,5","10,6","1,6",240,173,125,164,,
Scrumbie de Dunare,"12,4","39,1",0,260,204,130,414,,
File de sardine in ulei,"19,3","21,6",0,300,348,100,280,,
Icre crap,25,3,0,400,200,900,130,,
Icre stiuca,27,"1,5",0,400,0,900,125,,
Icre negre (caviar),26,15,0,400,178,900,246,,
Icre Manciuria,35,12,0,420,490,900,255,,
Oua,,,,,,,,,
Ou de gaina integral,14,12,"0,6",140,220,130,171,,
Galbenus ou de gaina,16,32,"0,3",120,500,50,364,,
Albus ou de gaina,13,"0,2","0,5",150,35,180,57,,
Ou de rata (circa 60g),7,8,"0,2",80,0,70,104,,
Legume proaspete si conserve de legume,,,,,,,,,
Ardei gras verde,"1,1","0,2","2,5",186,25,0,17,,
Ardei gras rosu,"1,3","0,4","7,3",186,0,0,39,,
Cartofi noi,"1,7","0,2","17,4",550,0,13,80,,
Cartofi maturi,2,"0,15",19,510,45,20,88,,
Castraveti,"1,3","0,2","2,9",170,27,15,19,,
Ceapa verde,1,"0,2","3,5",270,45,65,20,,
Ceapa uscata,"1,5","0,2",8,130,45,25,40,,
Ciuperci,5,"0,5","2,3",470,135,12,35,,
Conopida,"2,8","0,3","3,9",420,60,10,30,,
Dovlecei,"0,9","0,1","3,2",300,20,15,18,,
Fasole verde,2,"0,2","5,7",275,60,10,33,,
Mazare verde boabe ,"8,5","0,5",14,311,0,30,96,,
Morcovi,"1,5","0,3","8,8",220,40,100,45,,
Pastarnac,"1,4","0,5",15,380,70,20,72,,
Patrunjel radacina,"1,1","0,8",10,900,120,35,53,,
Tomate/rosii,"1,1","0,3","3,1",310,30,25,20,,
Vinete / Vinata / Vanata,"1,3","0,2","4,8",240,20,10,27,,
Praz,"2,3","0,4","9,9",200,57,7,54,,
Ridiche de luna,"0,6","0,1","3,8",120,25,60,19,,
Ridiche de iarna,"1,3","0,1","4,9",280,35,152,36,,
Salata verde,"1,9","0,3","2,9",320,50,"3,1",22,,
Salata rosie,"1,3","0,1",9,100,30,89,43,,
Spanac,"3,5","0,3",2,700,55,70,25,,
Telina radacini,"1,4","0,3","5,9",340,35,130,33,,
Urzici,"7,9","0,7","7,1",0,0,0,68,,
Usturoi,"7,2","0,2",26,250,0,20,137,,
Varza alba,"1,8","0,2","5,8",400,60,30,33,,
Varza bruxelles,4,"0,5",7,400,78,32,50,,
Varza rosie,"1,9","0,2","5,6",250,32,32,33,,
Conopida in apa (conserve sterilizate),"0,9",0,"1,5",300,0,35,10,,
Dovleci in apa (conserve sterilizate),"1,8","0,5","2,5",120,0,0,22,,
Fasole verde obisnuita (conserve sterilizate),"1,1","0,4","2,5",340,28,50,18,,
Mazare verde boabe (conserve sterilizate),"6,5","0,5",10,900,53,60,72,,
Fasole in bulion (conserve sterilizate),"1,5","0,6",6,0,0,0,36,,
Ghiveci in bulion,"1,4","0,5","3,7",350,0,40,26,,
Tomate in bulion,"1,7","0,4","3,1",300,0,25,23,,
Vinete in bulion,1,"0,5","1,5",300,0,20,15,,
Ghiveci in ulei,2,8,"4,2",330,0,40,100,,
Tocana de legume,1,6,"3,1",310,0,40,73,,
Bame in ulei,"1,9",6,"6,2",0,0,0,89,,
Bulion de tomate,3,0,"11,6",0,50,0,62,,
Pasta de tomate,"5,1",0,"16,4",0,68,0,85,,
Castraveti in otet,"0,6",0,"1,5",0,20,0,9,,
Gogosari intregi in otet,"0,7",0,3,0,20,0,15,,
Gogosari taiati in otet (alt),"0,8",0,"2,6",0,20,0,14,,
Salata de varza rosie,1,0,3,250,32,32,16,,
Salata de sfecla rosie,1,0,"8,2",100,30,80,38,,
Varza acra,"1,2",0,"3,3",350,34,1300,18,,
Fructe proaspete,,,,,,,,,
Banana,"1,3","0,6","13,4",360,30,3,66,,
Caise,1,0,13,320,26,1,57,,
Capsuni,1,"0,1",8,160,30,2,50,,
Cirese,1,"0,3",18,280,20,3,81,,
Coacaze,"1,5","0,6","10,2",275,38,3,54,,
